Looks	Student Teachers	2X5	?
Little Fury Things	Dinosaur Jr.	You're Living All Over Me	?
Rotterdam	The Wedding Present	Seamonsters	?
Vanessa From Queens	Stephen Malkmus & The Jicks	Pig Lib	?
Machine Gun	Slowdive	Souvlaki	?
Unsatisfied	The Replacements	Let It Be	?
Always Pretty	Princess Reason	Always Pretty EP	?
Lovesick	Orange Juice	The Glasgow School	?
Operator	Honest John Plain	Honest John Plain & Friends	?
Life's A Gas	T. Rex	Electric Warrior	?
Soft Serve	Soul Coughing	Irresistible Bliss	?
Nobody There	Veronica Falls	Nobody There	?
Brother Bryan	Waxahatchee	Cerulean Salt	?
Let's Go Away	Rocketship	A Certain Smile, A Certain Sadness	?
Steaming Train	Talulah Gosh	Backwash	?
Pristine Christine	The Sea Urchins	There And Back Again Lane	Sarah Records
Secret Surprise	Joanna Gruesome	Weird Sister	?
When You Lie	Flowers	When You Lie EP	?
The Source	Built To Spill	There's Nothing Wrong With Love	?
Blue Moon Revisited (Song For Elvis)	Cowboy Junkies	Trinity Session	?
She	Gram Parsons	The Complete Reprise Sessions	?
Kangaroo	Big Star	Third / Sister Lovers	?
Fade Into You	Mazzy Star	So Tonight That I Might See	?
South Philly	Cayetana	Demo	?
Sickos	Harlem Shakes	Burning Birthdays	?
Superpowerless	Dump	Superpowerless	?
Don't Let's Start	They Might Be Giants	They Might Be Giants	Bar-None Records
Ceremony	Galaxy 500	On Fire	?
Talking Backwards	Real Estate	Talking Backwards	?
Dignified and Old	The Modern Lovers	The Modern Lovers	?
Strangle The Shadows	Mode Moderne	Occult Delight	?
Lions and Tigers	Asobi Seksu	Citrus	?
